Symbol,From,To
S,2000-01-01,2013-07-08
APOL,2000-01-01,2013-06-28
FHN,2000-01-01,2013-06-21
HNZ,2000-01-01,2013-06-06
DF,2000-01-01,2013-05-23
CVH,2000-01-01,2013-05-08
PCS,2000-01-01,2013-04-30
BIG,2000-01-01,2013-02-15
FII,2000-01-01,2012-12-31
TIE,2000-01-01,2012-12-21
RRD,2000-01-01,2012-12-11
CBE,2011-11-18,2012-12-03
SUN,2000-01-01,2012-10-10
ANR,2011-06-01,2012-10-02
LXK,2000-01-01,2012-10-01
DV,2000-01-01,2012-10-01
SHLD,2000-01-01,2012-09-05
GR,2000-01-01,2012-07-31
PGN,2000-01-01,2012-07-02
SLE,2000-01-01,2012-06-29
NVLS,2000-01-01,2012-06-05
MMI,2000-01-01,2012-05-21
EP,2000-01-01,2012-05-17
SVU,2000-01-01,2012-04-23
MHS,2000-01-01,2012-04-03
CEG,2000-01-01,2012-03-13
CPWR,2000-01-01,2011-12-31
TLAB,2000-01-01,2011-12-20
AKS,2000-01-01,2011-12-16
MWW,2000-01-01,2011-12-16
WFR,2000-01-01,2011-12-16
GAS,2011-12-12,2011-12-12
JNS,2000-01-01,2011-11-18
ITT,2000-01-01,2011-10-31
CEPH,2000-01-01,2011-10-14
NSM,2000-01-01,2011-09-23
MI,2000-01-01,2011-07-05
RSH,2000-01-01,2011-06-30
MEE,2000-01-01,2011-06-01
NOVL,2000-01-01,2011-04-27
GENZ,2000-01-01,2011-04-01
Q,2017-08-29,2011-03-31
MFE,2000-01-01,2011-02-28
AYE,2000-12-05,2011-02-25
KG,2000-01-01,2010-12-17
EK,2000-01-01,2010-12-17
ODP,2000-01-01,2010-12-17
NYT,2000-01-01,2010-12-17
SII,2000-01-01,2010-08-26
MIL,2000-01-01,2010-07-14
STR,2000-01-01,2010-06-30
XTO,2000-01-01,2010-06-28
BJS,2000-01-01,2010-04-29
RX,2000-01-01,2010-02-26
SGP,2000-01-01,2009-11-03
CBE,2011-11-18,2009-09-28
